<frozen runpy>:128: RuntimeWarning: 'phase6.core.phase6_runner' found in sys.modules after import of package 'phase6.core', but prior to execution of 'phase6.core.phase6_runner'; this may result in unpredictable behaviour
2026-05-19 19:27:54,982 [INFO] phase6.runner: [CYCLE 8] 2026-05-19T19:27:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 19:32:54,983 [INFO] phase6.runner: [CYCLE 9] 2026-05-19T19:32:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 19:37:54,985 [INFO] phase6.runner: [CYCLE 10] 2026-05-19T19:37:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 19:42:54,985 [INFO] phase6.runner: [CYCLE 11] 2026-05-19T19:42:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 19:47:54,986 [INFO] phase6.runner: [CYCLE 12] 2026-05-19T19:47:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 19:52:54,986 [INFO] phase6.runner: [CYCLE 13] 2026-05-19T19:52:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 19:57:54,986 [INFO] phase6.runner: [CYCLE 14] 2026-05-19T19:57:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 20:02:54,987 [INFO] phase6.runner: [CYCLE 15] 2026-05-19T20:02:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 20:07:54,987 [INFO] phase6.runner: [CYCLE 16] 2026-05-19T20:07:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 20:12:54,987 [INFO] phase6.runner: [CYCLE 17] 2026-05-19T20:12:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 20:17:54,988 [INFO] phase6.runner: [CYCLE 18] 2026-05-19T20:17:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 20:22:54,988 [INFO] phase6.runner: [CYCLE 19] 2026-05-19T20:22:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 20:27:54,988 [INFO] phase6.runner: [CYCLE 20] 2026-05-19T20:27:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 20:32:54,989 [INFO] phase6.runner: [CYCLE 21] 2026-05-19T20:32:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 20:37:54,989 [INFO] phase6.runner: [CYCLE 22] 2026-05-19T20:37:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 20:42:54,989 [INFO] phase6.runner: [CYCLE 23] 2026-05-19T20:42:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 20:47:54,990 [INFO] phase6.runner: [CYCLE 24] 2026-05-19T20:47:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 20:52:54,990 [INFO] phase6.runner: [CYCLE 25] 2026-05-19T20:52:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 20:57:54,990 [INFO] phase6.runner: [CYCLE 26] 2026-05-19T20:57:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 21:02:54,991 [INFO] phase6.runner: [CYCLE 27] 2026-05-19T21:02:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 21:07:54,991 [INFO] phase6.runner: [CYCLE 28] 2026-05-19T21:07:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 21:12:54,992 [INFO] phase6.runner: [CYCLE 29] 2026-05-19T21:12:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 21:17:54,992 [INFO] phase6.runner: [CYCLE 30] 2026-05-19T21:17:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 21:22:54,992 [INFO] phase6.runner: [CYCLE 31] 2026-05-19T21:22:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 21:27:54,993 [INFO] phase6.runner: [CYCLE 32] 2026-05-19T21:27:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 21:32:54,993 [INFO] phase6.runner: [CYCLE 33] 2026-05-19T21:32:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 21:37:54,993 [INFO] phase6.runner: [CYCLE 34] 2026-05-19T21:37:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 21:42:54,994 [INFO] phase6.runner: [CYCLE 35] 2026-05-19T21:42:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 21:47:54,994 [INFO] phase6.runner: [CYCLE 36] 2026-05-19T21:47:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 21:52:54,995 [INFO] phase6.runner: [CYCLE 37] 2026-05-19T21:52:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 21:57:54,995 [INFO] phase6.runner: [CYCLE 38] 2026-05-19T21:57:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 22:02:54,995 [INFO] phase6.runner: [CYCLE 39] 2026-05-19T22:02:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 22:07:54,996 [INFO] phase6.runner: [CYCLE 40] 2026-05-19T22:07:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 22:12:54,996 [INFO] phase6.runner: [CYCLE 41] 2026-05-19T22:12:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 22:17:54,997 [INFO] phase6.runner: [CYCLE 42] 2026-05-19T22:17:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 22:22:54,997 [INFO] phase6.runner: [CYCLE 43] 2026-05-19T22:22:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 22:27:54,998 [INFO] phase6.runner: [CYCLE 44] 2026-05-19T22:27:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 22:32:54,998 [INFO] phase6.runner: [CYCLE 45] 2026-05-19T22:32:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 22:37:54,998 [INFO] phase6.runner: [CYCLE 46] 2026-05-19T22:37:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 22:42:54,999 [INFO] phase6.runner: [CYCLE 47] 2026-05-19T22:42:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 22:47:54,999 [INFO] phase6.runner: [CYCLE 48] 2026-05-19T22:47:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 22:52:54,999 [INFO] phase6.runner: [CYCLE 49] 2026-05-19T22:52:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 22:57:55,000 [INFO] phase6.runner: [CYCLE 50] 2026-05-19T22:57:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 23:02:55,000 [INFO] phase6.runner: [CYCLE 51] 2026-05-19T23:02:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 23:07:55,000 [INFO] phase6.runner: [CYCLE 52] 2026-05-19T23:07:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 23:12:55,001 [INFO] phase6.runner: [CYCLE 53] 2026-05-19T23:12:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 23:17:55,001 [INFO] phase6.runner: [CYCLE 54] 2026-05-19T23:17:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 23:22:55,002 [INFO] phase6.runner: [CYCLE 55] 2026-05-19T23:22:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 23:27:55,003 [INFO] phase6.runner: [CYCLE 56] 2026-05-19T23:27:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 23:32:55,003 [INFO] phase6.runner: [CYCLE 57] 2026-05-19T23:32:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 23:37:55,004 [INFO] phase6.runner: [CYCLE 58] 2026-05-19T23:37:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 23:42:55,004 [INFO] phase6.runner: [CYCLE 59] 2026-05-19T23:42:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 23:47:55,004 [INFO] phase6.runner: [CYCLE 60] 2026-05-19T23:47:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 23:52:55,005 [INFO] phase6.runner: [CYCLE 61] 2026-05-19T23:52:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 23:57:55,005 [INFO] phase6.runner: [CYCLE 62] 2026-05-19T23:57:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 00:02:55,006 [INFO] phase6.runner: [CYCLE 63] 2026-05-20T00:02:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 00:07:55,006 [INFO] phase6.runner: [CYCLE 64] 2026-05-20T00:07:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 00:12:55,006 [INFO] phase6.runner: [CYCLE 65] 2026-05-20T00:12:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 00:17:55,007 [INFO] phase6.runner: [CYCLE 66] 2026-05-20T00:17:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 00:22:55,007 [INFO] phase6.runner: [CYCLE 67] 2026-05-20T00:22:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 00:27:55,008 [INFO] phase6.runner: [CYCLE 68] 2026-05-20T00:27:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 00:32:55,008 [INFO] phase6.runner: [CYCLE 69] 2026-05-20T00:32:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 00:37:55,008 [INFO] phase6.runner: [CYCLE 70] 2026-05-20T00:37:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 00:42:55,009 [INFO] phase6.runner: [CYCLE 71] 2026-05-20T00:42:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 00:47:55,009 [INFO] phase6.runner: [CYCLE 72] 2026-05-20T00:47:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 00:52:55,010 [INFO] phase6.runner: [CYCLE 73] 2026-05-20T00:52:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 00:57:55,010 [INFO] phase6.runner: [CYCLE 74] 2026-05-20T00:57:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 01:02:55,010 [INFO] phase6.runner: [CYCLE 75] 2026-05-20T01:02:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 01:07:55,011 [INFO] phase6.runner: [CYCLE 76] 2026-05-20T01:07:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 01:12:55,011 [INFO] phase6.runner: [CYCLE 77] 2026-05-20T01:12:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 01:17:55,011 [INFO] phase6.runner: [CYCLE 78] 2026-05-20T01:17:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 01:22:55,012 [INFO] phase6.runner: [CYCLE 79] 2026-05-20T01:22:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 01:27:55,012 [INFO] phase6.runner: [CYCLE 80] 2026-05-20T01:27:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 01:32:55,012 [INFO] phase6.runner: [CYCLE 81] 2026-05-20T01:32:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 01:37:55,013 [INFO] phase6.runner: [CYCLE 82] 2026-05-20T01:37:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 01:42:55,013 [INFO] phase6.runner: [CYCLE 83] 2026-05-20T01:42:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 01:47:55,013 [INFO] phase6.runner: [CYCLE 84] 2026-05-20T01:47:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 01:52:55,014 [INFO] phase6.runner: [CYCLE 85] 2026-05-20T01:52:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 01:57:55,014 [INFO] phase6.runner: [CYCLE 86] 2026-05-20T01:57:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 02:02:55,014 [INFO] phase6.runner: [CYCLE 87] 2026-05-20T02:02:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 02:07:55,015 [INFO] phase6.runner: [CYCLE 88] 2026-05-20T02:07:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 02:12:55,015 [INFO] phase6.runner: [CYCLE 89] 2026-05-20T02:12:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 02:17:55,016 [INFO] phase6.runner: [CYCLE 90] 2026-05-20T02:17:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 02:22:55,016 [INFO] phase6.runner: [CYCLE 91] 2026-05-20T02:22:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 02:27:55,016 [INFO] phase6.runner: [CYCLE 92] 2026-05-20T02:27:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 02:32:55,017 [INFO] phase6.runner: [CYCLE 93] 2026-05-20T02:32:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 02:37:55,017 [INFO] phase6.runner: [CYCLE 94] 2026-05-20T02:37:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 02:42:55,017 [INFO] phase6.runner: [CYCLE 95] 2026-05-20T02:42:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 02:47:55,018 [INFO] phase6.runner: [CYCLE 96] 2026-05-20T02:47:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 02:52:55,018 [INFO] phase6.runner: [CYCLE 97] 2026-05-20T02:52:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 02:57:55,018 [INFO] phase6.runner: [CYCLE 98] 2026-05-20T02:57:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 03:02:55,019 [INFO] phase6.runner: [CYCLE 99] 2026-05-20T03:02:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 03:07:55,019 [INFO] phase6.runner: [CYCLE 100] 2026-05-20T03:07:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 03:12:55,020 [INFO] phase6.runner: [CYCLE 101] 2026-05-20T03:12:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 03:17:55,020 [INFO] phase6.runner: [CYCLE 102] 2026-05-20T03:17:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 03:22:55,020 [INFO] phase6.runner: [CYCLE 103] 2026-05-20T03:22:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 03:27:55,021 [INFO] phase6.runner: [CYCLE 104] 2026-05-20T03:27:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 03:32:55,021 [INFO] phase6.runner: [CYCLE 105] 2026-05-20T03:32:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 03:37:55,021 [INFO] phase6.runner: [CYCLE 106] 2026-05-20T03:37:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 03:42:55,022 [INFO] phase6.runner: [CYCLE 107] 2026-05-20T03:42:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 03:47:55,022 [INFO] phase6.runner: [CYCLE 108] 2026-05-20T03:47:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 03:52:55,022 [INFO] phase6.runner: [CYCLE 109] 2026-05-20T03:52:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 03:57:55,023 [INFO] phase6.runner: [CYCLE 110] 2026-05-20T03:57:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 04:02:55,023 [INFO] phase6.runner: [CYCLE 111] 2026-05-20T04:02:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 04:07:55,024 [INFO] phase6.runner: [CYCLE 112] 2026-05-20T04:07:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 04:12:55,024 [INFO] phase6.runner: [CYCLE 113] 2026-05-20T04:12:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 04:17:55,024 [INFO] phase6.runner: [CYCLE 114] 2026-05-20T04:17:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 04:22:55,025 [INFO] phase6.runner: [CYCLE 115] 2026-05-20T04:22:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 04:27:55,025 [INFO] phase6.runner: [CYCLE 116] 2026-05-20T04:27:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 04:32:55,025 [INFO] phase6.runner: [CYCLE 117] 2026-05-20T04:32:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 04:37:55,026 [INFO] phase6.runner: [CYCLE 118] 2026-05-20T04:37:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 04:42:55,026 [INFO] phase6.runner: [CYCLE 119] 2026-05-20T04:42:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 04:47:55,026 [INFO] phase6.runner: [CYCLE 120] 2026-05-20T04:47:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 04:52:55,027 [INFO] phase6.runner: [CYCLE 121] 2026-05-20T04:52:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 04:57:55,027 [INFO] phase6.runner: [CYCLE 122] 2026-05-20T04:57:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 05:02:55,028 [INFO] phase6.runner: [CYCLE 123] 2026-05-20T05:02:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 05:07:55,028 [INFO] phase6.runner: [CYCLE 124] 2026-05-20T05:07:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 05:12:55,028 [INFO] phase6.runner: [CYCLE 125] 2026-05-20T05:12:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 05:17:55,029 [INFO] phase6.runner: [CYCLE 126] 2026-05-20T05:17:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 05:22:55,029 [INFO] phase6.runner: [CYCLE 127] 2026-05-20T05:22:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 05:27:55,029 [INFO] phase6.runner: [CYCLE 128] 2026-05-20T05:27:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 05:32:55,030 [INFO] phase6.runner: [CYCLE 129] 2026-05-20T05:32:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 05:37:55,030 [INFO] phase6.runner: [CYCLE 130] 2026-05-20T05:37:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 05:42:55,031 [INFO] phase6.runner: [CYCLE 131] 2026-05-20T05:42:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 05:47:55,031 [INFO] phase6.runner: [CYCLE 132] 2026-05-20T05:47:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 05:52:55,031 [INFO] phase6.runner: [CYCLE 133] 2026-05-20T05:52:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 05:57:55,032 [INFO] phase6.runner: [CYCLE 134] 2026-05-20T05:57:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 06:02:55,032 [INFO] phase6.runner: [CYCLE 135] 2026-05-20T06:02:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 06:07:55,033 [INFO] phase6.runner: [CYCLE 136] 2026-05-20T06:07:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 06:12:55,034 [INFO] phase6.runner: [CYCLE 137] 2026-05-20T06:12:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 06:17:55,035 [INFO] phase6.runner: [CYCLE 138] 2026-05-20T06:17:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 06:22:55,141 [INFO] phase6.runner: [CYCLE 139] 2026-05-20T06:22:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 06:27:55,142 [INFO] phase6.runner: [CYCLE 140] 2026-05-20T06:27:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 06:32:55,142 [INFO] phase6.runner: [CYCLE 141] 2026-05-20T06:32:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 06:37:55,142 [INFO] phase6.runner: [CYCLE 142] 2026-05-20T06:37:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 06:42:55,143 [INFO] phase6.runner: [CYCLE 143] 2026-05-20T06:42:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 06:47:55,143 [INFO] phase6.runner: [CYCLE 144] 2026-05-20T06:47:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 06:52:55,143 [INFO] phase6.runner: [CYCLE 145] 2026-05-20T06:52:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 06:57:55,144 [INFO] phase6.runner: [CYCLE 146] 2026-05-20T06:57:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 07:02:55,144 [INFO] phase6.runner: [CYCLE 147] 2026-05-20T07:02:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 07:07:55,144 [INFO] phase6.runner: [CYCLE 148] 2026-05-20T07:07:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 07:12:55,145 [INFO] phase6.runner: [CYCLE 149] 2026-05-20T07:12:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 07:17:55,160 [INFO] phase6.runner: [CYCLE 150] 2026-05-20T07:17:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 07:22:55,160 [INFO] phase6.runner: [CYCLE 151] 2026-05-20T07:22:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 07:27:55,160 [INFO] phase6.runner: [CYCLE 152] 2026-05-20T07:27:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 07:32:55,161 [INFO] phase6.runner: [CYCLE 153] 2026-05-20T07:32:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 07:37:55,161 [INFO] phase6.runner: [CYCLE 154] 2026-05-20T07:37:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 07:42:55,161 [INFO] phase6.runner: [CYCLE 155] 2026-05-20T07:42:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 07:47:55,162 [INFO] phase6.runner: [CYCLE 156] 2026-05-20T07:47:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 07:52:55,172 [INFO] phase6.runner: [CYCLE 157] 2026-05-20T07:52:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 07:57:55,185 [INFO] phase6.runner: [CYCLE 158] 2026-05-20T07:57:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 08:02:55,186 [INFO] phase6.runner: [CYCLE 159] 2026-05-20T08:02:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 08:07:55,186 [INFO] phase6.runner: [CYCLE 160] 2026-05-20T08:07:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 08:12:55,186 [INFO] phase6.runner: [CYCLE 161] 2026-05-20T08:12:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 08:17:55,187 [INFO] phase6.runner: [CYCLE 162] 2026-05-20T08:17:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 08:22:55,187 [INFO] phase6.runner: [CYCLE 163] 2026-05-20T08:22:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 08:27:55,187 [INFO] phase6.runner: [CYCLE 164] 2026-05-20T08:27:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 08:32:55,188 [INFO] phase6.runner: [CYCLE 165] 2026-05-20T08:32:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 08:37:55,188 [INFO] phase6.runner: [CYCLE 166] 2026-05-20T08:37:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 08:42:55,188 [INFO] phase6.runner: [CYCLE 167] 2026-05-20T08:42:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 08:47:55,189 [INFO] phase6.runner: [CYCLE 168] 2026-05-20T08:47:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 08:52:55,189 [INFO] phase6.runner: [CYCLE 169] 2026-05-20T08:52:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 08:57:55,189 [INFO] phase6.runner: [CYCLE 170] 2026-05-20T08:57:55 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-20 09:02:55,190 [INFO] phase6.runner: [CYCLE 171] 2026-05-20T09:02:55 | rebalance_needed=True | last_rebalance=2026-05-19
2026-05-20 09:02:55,212 [INFO] phase6.runner: === Daily Rebalance ===
2026-05-20 09:02:56,246 [INFO] phase6.runner: Daily Rebalance: cash=$76.77 | target_weights={'BTC-USD': 0.2, 'ETH-USD': 0.2, 'SOL-USD': 0.2, 'XRP-USD': 0.2, 'DOGE-USD': 0.2}
2026-05-20 09:02:56,258 [INFO] phase6.runner: Daily rebalance completed. Executed=0, Skipped=0
2026-05-20 09:02:56,978 [INFO] phase6.runner: Telegram digest sent successfully
2026-05-20 09:07:56,980 [INFO] phase6.runner: [CYCLE 172] 2026-05-20T09:07:56 | rebalance_needed=False | last_rebalance=2026-05-20
2026-05-20 09:12:56,981 [INFO] phase6.runner: [CYCLE 173] 2026-05-20T09:12:56 | rebalance_needed=False | last_rebalance=2026-05-20
2026-05-20 09:17:56,981 [INFO] phase6.runner: [CYCLE 174] 2026-05-20T09:17:56 | rebalance_needed=False | last_rebalance=2026-05-20
